heading_pattern,count
1.2,178
2.2,143
2.1,122
3.2,122
3.3,101
2.3,83
1.3,74
1.1,71
3.1,64
3.4,50
第三章,47
4.2,46
1.4,42
4.1,39
第二章,34
2.4,33
第四章,32
5.2,32
4.3,32
Abstract,29
第一章,27
2.5,24
5.1,19
第五章,18
摘要,17
ABSTRACT,16
5.3,12
3.5,12
4.4,11
1.5,10
4.5,9
第1章,8
5.4,7
第2章,7
第六章,6
第3章,6
3.6,6
5.5,5
6.1,5
绪论,4
总结与展望,3
4.0,3
第4章,3
3.8,3
2.6,3
5.7,3
2.7,3
6.5,2
1.6,2
参考文献,2
1.7,2
5.6,2
8.6,1
700.00,1
600.00,1
500.00,1
397.76,1
38.02,1
4.97,1
6.3,1
009.4,1
70.99,1
9.98,1
结论,1
附录,1
5.0,1
3.7,1
3.9,1
1.8,1
2.0,1
1.9,1
8.14,1
8.23,1
8.30,1
8.31,1
8.24,1
6.2,1
2.17,1
2.8,1
6.4,1
