topic_a,topic_b,count
algorithm_modeling,equipment_maintenance,23
algorithm_modeling,production_scheduling,14
equipment_maintenance,production_scheduling,14
algorithm_modeling,software_platform,8
equipment_maintenance,software_platform,8
algorithm_modeling,lean_production,7
production_scheduling,software_platform,7
algorithm_modeling,quality_management,6
lean_production,quality_management,5
equipment_maintenance,quality_management,5
lean_production,production_scheduling,4
production_scheduling,quality_management,4
equipment_maintenance,lean_production,4
lean_production,software_platform,3
quality_management,software_platform,3
